title,genre,director,country,year
? (фильм),драма,Ханун Брамантйо,Индонезия,2011
13-й район: Ультиматум,боевик,"Патрик Алессандрен, фр., Patrick Alessandrin",Франция,2009
13-я жертва,ужасы,Мэл Хаус,США,2008
14,мелодрама,Андрей Зайцев,Россия,2015
14 клинков,"боевик, триллер",Дэниел Ли,"Гонконг, Китай",2010
14+: Продолжение,мелодрама,Андрей Зайцев,Россия,2023
14 июля (фильм),комедия,Рене Клер,Франция,1933
14 амазонок,"приключенческий фильм, драма, военный фильм","Чэн Ган, Дун Шаоюн",Гонконг,1972
13-й участок,"криминальный фильм, драма, экранизация",Мартин Фрич,Чехословакия,1946
13-й район: Кирпичные особняки,боевик,Камиль Деламарр,"Франция, Канада, США",2014
13-й район,боевик,Пьер Морель,Франция,2004
13-й знак,Ужасы,"Джонти Эктон, Адам Мэйсон",Великобритания,2000
13-й апостол,фантастический фильм,Сурен Бабаян,СССР,1988
13 убийц,боевик,Такаси Миикэ,Япония,2010
13 стульев,Комедия,Эмерих Йозеф Войтек,Нацистская Германия,1938
13 часов: Тайные солдаты Бенгази,"военный, драма, триллер",Майкл Бэй,США,2016
38-я параллель (фильм),"драма, боевик, военный",Кан Джегю,Республика Корея,2004
33 (фильм),драма,Патрисия Ригген,"США, Чили, Колумбия",2015
36 безумных кулаков,"боевик, комедия",Чэнь Чжихуа,Гонконг,1977
34-й скорый,"Фильм-катастрофа, приключенческий фильм, драма",Андрей Малюков,СССР,1981
32 декабря (фильм),"комедия, фантастика, мелодрама",Александр Муратов,Россия,2004
32-е августа на Земле,"драма, мелодрама",Дени Вильнёв,Канада,1998
31 июня (фильм),"музыкальный фильм, мюзикл, фэнтези",Леонид Квинихидзе,СССР,1978
31-й километр,"ужасы, мистика",Ригоберто Кастаньеда,"Мексика, Испания",2006
31 (фильм),Фильм ужасов,Роб Зомби,США,2016
30 Rock: A XXX Parody,порнофильм,Ли Рой Майерс,США,2009
30 свиданий,"комедия, мелодрама",Таисия Игуменцева,Россия,2016
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,"комедийный, фильм ужасов",Крэйг Мосс,США,2012
"29-я улица (фильм, 1991)","комедия, драма",Джордж Галло,США,1991
30 дней до рассвета,"фильм ужасов, комедия",Андерс Банке,Швеция,2006
30 безумных желаний,независимый кинематограф,Питер Хатчингс,США,2018
30 дней ночи: Тёмные времена,"триллер, фильм ужасов",Бен Кетай,США,2010
30 дней ночи,фильм о вампирах,Дэвид Слейд,США,2007
29 километр (фильм),"драма, музыкальный фильм",Леонид Андронов,Россия,2012
"29 пальм (фильм, 2003)","драма, роуд-муви",Брюно Дюмон,"Франция, Германия, США",2003
28 недель спустя,"постапокалиптический, фильм ужасов",Хуан Карлос Фреснадильо,"Великобритания, США, Испания",2007
27-й день,научная фантастика,Уильям Эшер,США,1957
28 лет спустя,"постапокалиптический, фильм ужасов",Дэнни Бойл,"Великобритания, США",2025
27 секунд памяти,документальный,Иван Качалин,"Россия, Чехия, Нидерланды",2019
27 украденных поцелуев,"комедия, драма, мелодрама",Нана Джорджадзе,"Грузия, Франция, Германия, Россия",2000
28 дней,"драма, комедия",Бетти Томас,США,2000
28 дней спустя,Музыка к фильму,Дэнни Бойл,Великобритания,2002
28 лет спустя: Храм костей,"постапокалиптический, фильм ужасов",Ниа Дакоста,"Великобритания, США",2026
27 свадеб,романтическая комедия,Энн Флетчер,США,2008
"Аватар, или Замена душ","фантастика, драма",Януш Маевский,Польша,1964
"Авария (фильм, 1990)",детектив,Джеймс Аллен,"ЮАР, США, Заир",1990
"Аватар (фильм, 1916)","мистическая, драма",Кармине Галлоне,Италия,1916
Аватар 4,"эпический фильм, научная фантастика, боевик, приключения, фэнтези",Джеймс Кэмерон,США,2029
"Авария (фильм, 1997)",триллер,Джонатан Мостоу,США,1997
Аватар: Пламя и пепел,"эпический фильм, научная фантастика, приключенческий боевик",Джеймс Кэмерон,США,2025
"Авария (фильм, 1974)","детектив, драма",Витаутас Жалакявичюс,СССР,1974
"Авария (фильм, 1976)",боевик,Серджиу Николаеску,Румыния,1976
"Авария (фильм, 1965)",Детектив,"Александр Абрамов, Наум Бирман",СССР,1965
Аварийный выход (фильм),комедия,Роман Залуски,Польша,1982
Авария — дочь мента,драма,Михаил Туманишвили,СССР,1989
"Авантюристы (фильм, 1984)","драма, комедия, боевик, военный, приключения",Анри Вернёй,Франция,1984
"Авантюристы (фильм, 2014)",приключения,Константин Буслов,Россия,2014
"Аватар (фильм, 2009)","эпический фильм, научная фантастика, приключенческий боевик, драма",Джеймс Кэмерон,"США, Великобритания",2009
Авантюрист (фильм),"военная, драма, приключенческий фильм",Чжан Пэйчэн,Китайская Республика,1976
Авантюра леди Хелен,короткометражный фильм,Дэвид Уорк Гриффит,США,1909
"Авантюра (фильм, 1995)","комедия, шпионский фильм",Виталий Макаров,"Россия, Украина",1995
"Авантюристы (фильм, 1951)",приключенческий фильм,Дэвид Макдональд,Великобритания,1951
Аванти! (фильм),комедия,Билли Уайлдер,"США, Италия",1972
Аванти пополо,военная драма,Рафи Букай,Израиль,1986
"Авансцена (фильм, 1991)","драма, биография",Стэнли Кван,Гонконг,1991
Аванпост (фильм),"фильм-триллер, научно-фантастический фильм, боевик, антиутопический фильм","Баранов, Егор Геннадьевич",Россия,2019
Авангард: Арктические волки,"боевик, криминал, комедия",Стэнли Тонг,Китай,2020
Ава (фильм),драма,Леа Мисиус,Франция,2017
Абу Райхан Беруни (фильм),драма,Шухрат Аббасов,СССР,1974
"Авалон (фильм, 2001)","фантастика, триллер, драма, киберпанк",Мамору Осии,"Япония, Польша",2001
Абсурдистан,Комедия,Файт Хельмер,"Германия, Азербайджан",2008
"Авалон (фильм, 1990)",драма,Барри Левинсон,США,1990
Абсолютные новички,"драма, фэнтези, мелодрама, мюзикл",Джулиен Темпл,"Великобритания, Австралия",1986
Абсолютная сотня,"криминал, драма, боевик, триллер",Срджан Голубович,СР Югославия,2001
Актриса (фильм),"мелодрама, комедия, военный фильм",Леонид Трауберг,СССР,1942
Актёры (фильм),комедия,Бертран Блие,Франция,2000
Активная зона (фильм),драма,Леонид Пчёлкин,СССР,1979
"Актёры (фильм, 2003)","комедия, криминал",Конор МакФерсон,"Великобритания, Германия, Ирландия",2003
Актёр Йоллер,драма,Вирве Аруоя,СССР,1960
"Акт убийства (фильм, 1948)",Фильм нуар,Майкл Гордон,США,1948
Акт убийства,"документальный, исторический","Джошуа Оппенхаймер, Кристин Цинн (сорежиссёр), Анонимные сорежиссёры","Великобритания, Дания, Норвегия",2012
"Акт насилия (фильм, 1948)","Фильм нуар, Драма",Фред Циннеман,США,1948
Акт агрессии (фильм),"криминальный фильм, драма",Жерар Пирес,"Франция, Италия",1975
"Акт (фильм, 1993)","мелодрама, детективный фильм",Александр Рогожкин,Россия,1993
Аксели и Элина,"драма, исторический",Эдвин Лайне,Финляндия,1970
Акселератка,эксцентрическая комедия,Алексей Коренев,СССР,1987
Акробатическая смесь,"хроника, короткометражка",Макс Складановский,Германская империя,1895
"Акмаль, дракон и принцесса",сказка,Юрий Степчук,СССР,1981
"Американская трагедия (фильм, 1931)",драма,Джозеф фон Штернберг,США,1931
Американская сказка,"фэнтези, комедия",Дэвид Цукер,США,2008
"Айна (фильм, 1959)","драма, исторический","Алты Карлиев, Владимир Иванов",СССР,1959
Американская рапсодия,"биографический фильм, фильм о взрослении, драма",Эва Гардос,"США, Венгрия",2001
Американская пастораль,"драма, криминал",Юэн Макгрегор,США,2016
Американская ночь,трагикомедия,Франсуа Трюффо,"Франция, Италия",1973
Американская милашка,Роуд-муви,Андреа Арнольд,"Великобритания, США",2016
Американская Мэри,"фильм ужасов, триллер","Джен Соска, Сильвия Соска",Канада,2012
"Айрис (фильм, 2014)",документальный,Альберт Мэйслес,США,2014
Американская мечта (фильм),"комедия, музыка",Пол Вайц,США,2006
Американская интрижка,"комедия, драма",Уильям Олсон,США,2008
Американская история Икс,"Инструментальная, электроакустическая",Тони Кэй,США,1998
Американская звезда,фильм-триллер,Гонсало Лопес-Гальего,"США, Великобритания",2024
Анна Бонд,"боевик, мелодрама, драма",Дуния Сури,Индия,2012
"Анна (фильм, 2019)","боевик, триллер, шпионский фильм",Люк Бессон,Франция,2019
"Анна (фильм, 1988)","мелодрама, семейный фильм","Франк Штрекер, нем., Frank Strecker",ФРГ,1988
"Анна (фильм, 1967)",музыкальный фильм,Пьер Коральник,Франция,1967
Анна (мини-сериал),"постапокалипсис, антиутопия",Никколо Амманити,Италия,2021
Анклав (фильм),драма,Горан Радованович,"Сербия, Германия",2015
"Анкор, ещё анкор! (фильм)",драма,Пётр Тодоровский,Россия,1992
Анита О’Дэй: Жизнь джазовой певицы,документальный,"Робби Каволина, Иэн Маккрадден",США,2007
Анискин и Фантомас,"детективный фильм, комедия","Михаил Жаров, Виталий Иванов, Владимир Рапопорт",СССР,1973
"Анимация (фильм, 2020)",драма,Сергей Николаевич,Россия,2020
"Анима мунди (фильм, 1992)",документальный фильм,Годфри Реджио,США,1992
Анжель (фильм),"драма, экранизация литературного произведения",Марсель Паньоль,Франция,1934
"Анжелика, маркиза ангелов (фильм, 2013)","мелодрама, приключения",Ариель Зейтун,Франция,2013
"Агент (фильм, 1991)",боевик,Аарон Норрис,США,1991
Айрик (фильм),мелодрама,Генрих Малян,СССР,1972
Артём (фильм),"историко-революционный, фильм-биография, драма","Николай Кошелев, Валентин Морозов",СССР,1978
Артек. Сквозь столетия,"комедия, приключения, фантастика","Карен Захаров, Армен Ананикян",Россия,2025
Артек. Большое путешествие,"комедия, приключения, фантастика","Карен Захаров, Армен Ананикян",Россия,2022
Арт-колледж 1994,"драма, чёрная комедия",Лю Цзянь,Китай,2023
"Айла (фильм, 2017)",драма,Джан Улкай,"Турция, Республика Корея",2017
Арсенал (фильм),исторический фильм,Александр Довженко,СССР,1929
"Арсен Люпен (фильм, 2004)","боевик, приключенческий фильм, криминальный фильм, мелодрама",Жан-Поль Саломе,"Франция, Италия, Испания, Великобритания",2004
Арсен (фильм),"драма, исторический фильм",Михаил Чиаурели,СССР,1937
Аромат любви Фанфан,"мелодрама, комедия",Александр Жарден,Франция,1993
Алёша (фильм),"драма, мелодрама",Виктор Обухов,СССР,1980
Аромат кукурузы,драма,Джанни Да Кампо,Италия,1986
Аромат зелёной папайи,"драма, мелодрама, музыкальный фильм",Чан Ань Хунг,"Франция, Вьеткьеу Франции",1993
Аромат дыни в Самарканде,"драма, комедия",Али Хамраев,Узбекистан,2021
Арнульф Райнер (фильм),экспериментальное кино,Петер Кубелка,Австрия,1960
Арн: Королевство в конце пути,исторический фильм,Петер Флинт,"Дания, Швеция, Финляндия, Великобритания, Норвегия, Германия",2008
Арн: Рыцарь-тамплиер,исторический фильм,Петер Флинт,"Швеция, Дания, Норвегия, Финляндия, Германия",2007
Баария,"драма, комедия",Джузеппе Торнаторе,"Франция, Италия",2009
Ба-бах,"комедия, фантастика",Грегг Араки,"США, Франция",2010
Аэропорт со служебного входа,производственная драма,Борис Яшин,СССР,1986
Аэропорт 1975,"фильм-катастрофа, драма",Джек Смайт,США,1974
Аэропорт-79: «Конкорд»,"фильм-катастрофа, боевик, драма, триллер",Дэвид Лоуэлл Рич,США,1979
"Аэропорт (фильм, 1970)","трагикомедийный, триллер",Джордж Ситон,США,1970
Аэроплан II: Продолжение,комедия,Кен Финклмен,США,1982
Аэропорт 77,фильм-катастрофа,Джерри Джеймсон,США,1977
Аэроплан!,чёрная комедия,"Джим Абрахамс, Дэвид Цукер, Джерри Цукер",США,1980
Аэро НТ-54,"детективный фильм, фантастика",Николай Петров,СССР,1925
Аэроград,"драма, кинопоэма",Александр Довженко,СССР,1935
Аэронавты,"экшн, приключение, биография",Том Харпер,"США, Великобритания",2019
"Аэлита, не приставай к мужчинам",трагикомедия,Георгий Натансон,СССР,1988
Аэлита (фильм),Фантастика,Яков Протазанов,СССР,1924
Ашик-Кериб (фильм),драма,"Давид Абашидзе, Сергей Параджанов",СССР,1988
Ашанти (фильм),"боевик, приключенческий фильм, драма, триллер",Ричард Флейшер,США,1979
Ахиллес и черепаха (фильм),комедия,Такэси Китано,Япония,2008
Айлин (фильм),"психологический фильм-триллер, экранизация романа",Уильям Олдройд,"США, Великобритания",2023
Антисекс (фильм),драма,"Ренато Кастеллани, Марко Феррери, Франко Росси","Италия, Франция",1964
Барабан (фильм),драма,Зола Масеко,"США, ЮАР",2004
Бар-закусочная «Будапешт»,драма,Тинто Брасс,Италия,1988
Бар «МоскваЧики»,комедия,Анарио Мамедов,Россия,2024
Бар «Гадкий койот»,"мюзикл, комедийная драма",Дэвид МакНэлли,США,2000
Банши Инишерина,"чёрная, трагикомедия",Мартин Макдонах,"Ирландия, США, Великобритания",2022
Банти и Бабли,"комедия, криминал, приключения",Шаад Али,Индия,2005
Бабушкин дом,"ужасы, триллер",Питер Рейдер,США,1988
Бансу (фильм),"триллер, военный фильм",Павел Костомаров,Россия,
Банни Лейк исчезает,детектив,Отто Премингер,Великобритания,1965
Антисемитизм в XXI веке: Возрождение,документальный фильм,Эндрю Голдберг,США,2007
"Банкрот (фильм, 2009)","драма, трагикомедия",Игорь Масленников,Россия,2009
"Банкомат (фильм, 2012)",триллер,Дэвид Брукс,"США, Канада",2012
Американский пирог 5: Голая миля,кинокомедия,Джо Нуссбаум,"США, Канада",2006
Банкиры Бога: Дело Кальви,"драма, исторический фильм, биографический фильм, фильм-триллер",Джузеппе Феррара,Италия,2002
Банковский билет в миллион фунтов стерлингов,"комедия, мелодрама",Рональд Ним,Великобритания,1954
Без дураков,комедийная драма,Роберт Бентон,США,1994
Бабы рязанские,драма,"Ольга Преображенская, Иван Правов",СССР,1927
Без дочери — никогда,драма,Брайан Гилберт,США,1991
Без гроша в Беверли-Хиллз,комедия,Пол Мазурски,США,1986
"Без границ (фильм, 2015)","комедия, мелодрама","Резо Гигинеишвили, Карен Оганесян, Роман Прыгунов",Россия,2015
Без вины виноватый,"боевик, комедия",Пэт Профт,"США, Германия",1998
Без году неделя,"мелодрама, комедия",Николай Засеев-Руденко,СССР,1982
"Без вины виноватые (фильм, 2008)",мелодрама,Глеб Панфилов,Россия,2008
Без греха не вытащишь и рыбку из пруда?,"комедия, эротика",Франко Мартинелли,Италия,1979
"Без вины виноватые (фильм, 1916)",драма,Чеслав Сабинский,Российская империя,1916
"Без видимых причин (фильм, 1982)",детективный фильм,Евгений Татарский,СССР,1981
Без вести пропавший,"драма, военный фильм, киноповесть",Исаак Шмарук,СССР,1956
"Без вины виноватые (фильм, 1945)",драма,Владимир Петров,СССР,1945
"Без видимых причин (фильм, 1971)","детектив, триллер",Филипп Лабро,"Франция, Италия",1971
Бабы,драма,Владимир Баталов,СССР,1940
Без вести пропавшие 2: Начало,Боевик,Лэнс Хул,США,1985
Без бретелек,"драма, мелодрама",Дэвид Хэр,Великобритания,1989
Без близнеца,"комедия, драма",Джеймс Суини,США,2025
Без вести пропавшие,Боевик,Джозеф Зито,США,1984
Без ансамбля,"пародия, музыка, танцы",Дэмиен Уэйанс,США,2009
"Беженцы (фильм, 1933)","пропагандистский фильм, приключения, военный фильм, драма",Густав Учицки,Германия,1933
Бежин луг (фильм),драма,Сергей Эйзенштейн,СССР,1935
Бедуин (фильм),драма,Игорь Волошин,Россия,2011
Безымянный фильм Мартина Скорсезе,"Биографический фильм, криминальная драма, триллер, гангстерский фильм",Мартин Скорсезе,,
"Безымянные герои (фильм, 1971)","боевик, комедия",Чжан Чэ,Гонконг,1971
"Безымянные герои (фильм, 1932)","драма, детектив, приключенческий фильм",Михал Вашиньский,Польша,1932
"Безымянные (фильм, 1969)","фильм-опера, драма",Викентий Серков,СССР,1969
Безымянная — одна женщина в Берлине,драма,"Макс Фэрбербёк (, нем., Max Färberböck","Германия, Польша",2008
Безымянная звезда (фильм),"трагикомедия, мелодрама",Михаил Козаков,СССР,1978
Безупречный (фильм),"комедийная драма, криминал",Кори Финли,США,2019
Безупречная репутация,"комедия, драма, криминал",Бертран Тавернье,Франция,1981
Безупречная комната,психологический триллер,Мукунда Майкл Дьюил,США,2022
Безупречная (фильм),"Психологическая, драма, Триллер",Себастьен Марньер,Франция,2016
"Безумцы (фильм, 2010)","ужасы, триллер",Брек Айснер,"США, ОАЭ",2010
Безумство духов,"комедия, фильм ужасов",Алан Смити,США,1987
"Безумцы (фильм, 1928)","драма, военный фильм",Леонард Бучковский,Польша,1928
"Безумцы (фильм, 1973)","фильм ужасов, фантастика",Джордж Ромеро,США,1973
Безумный Феникс,"драма, биография",Клифтон Ко,Гонконг,1997
Безумный спецназ (фильм),"комедия, военный фильм",Грант Хеслов,"США, Великобритания",2009
Безумный следователь,"триллер, криминальный фильм","Джонни То, Вай Кафай",Гонконг,2007
Безумный рейс,комедия,Владимир Плешаков,Россия,1992
Безумный секс,комедия,Дино Ризи,Италия,1973
Безумный Сесил Б.,"комедия, криминал, триллер",Джон Уотерс,"Франция, США",2000
Безумный плод,фильм-драма,Ко Накахира,Япония,1956
Безумный Пьеро,"комедия, детективный фильм, драма",Жан-Люк Годар,"Франция, Италия",1965
Берег в тумане,Фильм нуар,Анатоль Литвак,США,1941
Берег (фильм),мелодрама,"Александр Алов, Владимир Наумов","Западный Берлин, СССР, ФРГ",1983
Бёрдмэн,"чёрная, трагикомедия",Алехандро Г. Иньярриту,США,2014
Бергман (фильм),документальный,Яне Магнуссон,"Швеция, Норвегия",2018
Бергдорф Гудман: Больше века на вершине модного олимпа,документальный фильм,Мэттью Миле,США,2013
Беовульф и Грендель,фэнтези,Стурла Гуннарссон,"Канада, Великобритания, Исландия",2005
"Беовульф (фильм, 2007)","драма, боевик, фэнтези",Роберт Земекис,США,2007
"Беовульф (фильм, 1999)","фильм ужасов, боевик, фантастика",Грэм Бейкер,США,1999
Бенямишек,"драма, экранизация",Влодзимеж Ольшевски,ПНР,1975
Бабушкина лупа,короткометражка,Джордж Альберт Смит,Великобритания,1900
Безумный Макс 2: Воин дороги,"постапокалиптический, боевик",Джордж Миллер,Австралия,1981
Беня Крик (фильм),драма,Владимир Вильнер,СССР,1926
Бенни и Джун,"романтическая комедия, драма, физическая комедия",Джеремайя С. Чечик,США,1993
Билли Мэдисон,комедия,Тамра Дэвис,США,1995
Билли Батгейт,"гангстерский фильм, криминальный фильм, боевик, драма",Роберт Бентон,США,1991
Билл и Тед снова в деле,"Рок, хеви-метал",Дин Паризо,США,2020
Билли Айлиш: Слегка размытый мир,документальный фильм,Ар Джей Катлер,США,2021
Билитис,"эротическая, мелодрама, драма",Дэвид Гамильтон,"Франция, Италия",1977
Билет на поезд (фильм),"комедия, драма","Аббас Киаростами, Эрманно Ольми, Кен Лоуч","Италия, Великобритания",2005
Билет на Vegas,"комедия, приключения",Гор Киракосян,"Россия, США",2013
Билет на небеса,драма,Ральф Томас,Канада,1981
"Билет в рай (фильм, 2022)",романтическая комедия,Ол Паркер,США,2022
Билет в Томагавк,"вестерн, комедия",Ричард Сейл,США,1950
Билет в один конец на Луну,"мелодрама, кинокомедия, роуд-муви",Яцек Бромски,Польша,2013
"Билет в красный театр, или Смерть гробокопателя","криминал, детектив, исторический",Амурбек Гобашиев,Россия,1992
Билет (фильм),драма,Стюарт Купер,США,1997
Билборд (фильм),триллер,Лукаш Заджинский,Польша,1998
Бикфордов шнур (фильм),трагикомедия,Пьер Жалица,Босния и Герцеговина,2003
Бизнес ради любви,романтическая комедия,Джил Янгер,США,2010
"Битва полов (фильм, 2017)",комедия-драма,"Джонатан Дэйтон, Валери Фэрис","США, Великобритания",2017
Безумный Макс 3: Под куполом грома,"боевик, постапокалиптика, дизельпанк","Джордж Миллер, Джордж Огилви",Австралия,1985
Блюз ночью,"Музыкальный фильм, Фильм нуар, Мелодрама",Анатоль Литвак,США,1941
